,school,Gender,age,famsize,Pstatus,Unnamed: 5,StudyTime,failures,Unnamed: 8,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Math,Science,English,Marks,Total
0,GP,F,18,GT3,A,,2,0,,4,3,4,1,1,3,6,5,6,6,78,60,49,187,187
1,GP,F,17,GT3,T,,2,0,,5,3,3,1,1,3,4,5,5,6,91,87,97,275,275
2,GP,F,15,LE3,T,,2,3,,4,3,2,2,3,3,10,7,8,10,68,59,83,210,210
3,GP,F,15,GT3,T,,3,0,,3,2,2,1,1,5,2,15,14,15,54,95,56,205,205
4,GP,F,16,GT3,T,,2,0,,4,3,2,1,2,5,4,6,10,10,82,47,77,206,206
7,GP,F,17,GT3,A,,2,0,,4,1,4,1,1,1,6,6,5,6,78,56,52,186,186
10,GP,F,15,GT3,T,,2,0,,3,3,3,1,2,2,0,10,8,9,62,51,48,161,161
11,GP,F,15,GT3,T,,3,0,,5,2,2,1,1,4,4,10,12,12,50,98,89,237,237
15,GP,F,16,GT3,T,,1,0,,4,4,4,1,2,2,4,14,14,14,75,61,44,180,180
16,GP,F,16,GT3,T,,3,0,,3,2,3,1,2,2,6,13,14,14,79,85,68,232,232
17,GP,F,16,GT3,T,,2,0,,5,3,2,1,1,4,4,8,10,10,63,69,76,208,208
24,GP,F,15,GT3,T,,3,0,,4,3,2,1,1,5,2,10,9,8,69,66,61,196,196
25,GP,F,16,GT3,T,,1,2,,1,2,2,1,3,5,14,6,9,8,77,66,91,234,234
35,GP,F,15,GT3,T,,1,0,,3,5,1,1,1,5,0,8,7,6,88,87,58,233,233
38,GP,F,15,GT3,T,,3,0,,4,3,2,1,1,5,2,12,12,11,81,74,78,233,233
39,GP,F,15,GT3,T,,1,0,,4,3,1,1,1,2,8,14,13,13,67,88,9,164,164
40,GP,F,16,LE3,T,,2,1,,3,3,3,1,2,3,25,7,10,11,99,56,49,204,204
44,GP,F,16,LE3,T,,2,1,,4,3,3,2,2,5,14,10,10,9,90,68,42,200,200
45,GP,F,15,LE3,A,,2,0,,5,2,2,1,1,5,8,8,8,6,83,85,84,252,252
46,GP,F,16,LE3,A,,2,0,,2,3,5,1,4,3,12,11,12,11,94,92,52,238,238
49,GP,F,15,GT3,T,,2,1,,4,4,4,1,1,3,2,7,7,7,42,99,97,238,238
50,GP,F,16,LE3,T,,2,0,,4,3,3,2,3,4,2,12,13,13,76,80,59,215,215
51,GP,F,15,LE3,T,,2,0,,4,3,3,1,1,5,2,11,13,13,90,76,67,233,233
53,GP,F,15,GT3,T,,1,0,,3,3,4,2,3,5,0,8,10,11,60,68,80,208,208
54,GP,F,15,LE3,A,,1,0,,5,3,4,4,4,1,6,10,13,13,48,88,78,214,214
55,GP,F,16,GT3,A,,2,0,,5,3,4,1,1,2,8,8,9,10,78,85,40,203,203
56,GP,F,15,GT3,A,,2,0,,4,3,2,1,1,1,0,14,15,15,57,92,42,191,191
59,GP,F,16,GT3,T,,2,0,,4,2,3,1,1,5,2,15,16,16,99,99,96,294,294
60,GP,F,16,GT3,T,,2,0,,2,4,4,2,3,4,6,10,11,11,53,72,99,224,224
61,GP,F,16,GT3,T,,1,0,,5,5,5,5,5,5,6,10,8,11,89,91,88,268,268
62,GP,F,16,LE3,T,,2,0,,4,4,3,1,1,1,4,8,10,9,97,60,64,221,221
63,GP,F,16,GT3,T,,3,0,,3,4,4,2,4,4,2,10,9,9,48,71,95,214,214
64,GP,F,15,LE3,T,,2,0,,4,4,4,2,4,2,0,10,10,10,65,62,72,199,199
65,GP,F,16,LE3,T,,2,0,,5,4,3,1,2,1,2,16,15,15,92,72,77,241,241
67,GP,F,16,GT3,T,,4,0,,4,3,3,1,2,5,4,7,7,6,59,57,45,161,161
68,GP,F,15,LE3,T,,2,0,,4,1,3,1,3,4,2,8,9,8,67,64,97,228,228
69,GP,F,15,LE3,T,,4,0,,4,4,2,2,3,3,12,16,16,16,86,81,83,250,250
72,GP,F,15,GT3,T,,2,2,,3,3,4,2,4,5,2,8,6,5,83,97,84,264,264
74,GP,F,16,GT3,T,,2,0,,4,3,3,2,4,5,54,11,12,11,86,79,60,225,225
77,GP,F,16,GT3,T,,4,0,,5,2,3,1,3,3,0,11,11,11,56,89,60,205,205
79,GP,F,16,GT3,T,,2,0,,2,4,3,1,2,3,12,5,5,5,89,86,99,274,274
82,GP,F,15,LE3,T,,2,0,,4,4,4,1,1,5,10,7,6,6,41,41,74,156,156
84,GP,F,15,GT3,T,,2,0,,4,3,2,2,3,4,2,9,10,10,93,81,59,233,233
85,GP,F,15,GT3,T,,2,2,,4,4,4,2,3,5,6,7,9,8,81,41,96,218,218
86,GP,F,16,LE3,T,,2,0,,4,3,4,1,2,2,4,8,7,6,43,65,57,165,165
87,GP,F,15,GT3,T,,3,0,,5,3,3,1,3,1,4,13,14,14,93,56,86,235,235
90,GP,F,16,GT3,T,,3,0,,4,3,3,1,3,4,0,7,7,8,65,48,53,166,166
91,GP,F,15,GT3,T,,1,0,,4,5,5,1,3,1,4,16,17,18,83,82,54,219,219
92,GP,F,16,LE3,T,,2,0,,3,3,3,2,3,2,4,7,6,6,73,93,70,236,236
93,GP,F,16,GT3,T,,2,0,,5,3,3,1,1,1,0,11,10,10,49,87,40,176,176
95,GP,F,15,GT3,T,,4,1,,3,1,2,1,1,1,2,7,10,10,53,68,93,214,214
97,GP,F,16,GT3,T,,2,0,,4,3,5,1,1,5,2,8,9,10,87,94,42,223,223
98,GP,F,16,GT3,T,,1,0,,5,3,4,1,2,1,6,11,14,14,54,65,55,174,174
99,GP,F,16,GT3,T,,3,0,,5,3,5,1,1,3,0,7,9,8,47,74,62,183,183
103,GP,F,15,GT3,T,,2,0,,4,3,5,1,1,2,26,7,6,6,96,52,49,197,197
105,GP,F,15,GT3,A,,4,0,,4,3,3,1,1,4,10,10,11,11,60,97,55,212,212
106,GP,F,15,GT3,T,,4,0,,5,1,2,1,1,3,8,7,8,8,55,46,47,148,148
109,GP,F,16,LE3,T,,3,0,,5,4,5,1,1,4,4,14,15,16,86,84,63,233,233
111,GP,F,16,GT3,T,,3,1,,4,1,2,1,1,2,0,7,10,10,63,40,92,195,195
112,GP,F,16,GT3,T,,2,1,,3,1,2,1,1,5,6,10,13,13,65,47,47,159,159
120,GP,F,15,GT3,T,,2,0,,3,2,3,1,2,1,2,16,15,15,54,67,89,210,210
122,GP,F,16,LE3,T,,2,0,,4,2,2,1,2,5,2,13,13,13,40,41,67,148,148
124,GP,F,16,GT3,T,,2,0,,5,4,4,1,1,5,0,8,7,8,46,62,80,188,188
126,GP,F,15,LE3,A,,2,0,,5,3,2,1,1,1,0,7,10,11,63,90,66,219,219
127,GP,F,19,GT3,T,,2,3,,3,4,2,1,1,5,2,7,8,9,40,64,93,197,197
130,GP,F,15,GT3,T,,3,2,,4,2,2,2,2,5,0,12,0,0,63,97,72,232,232
131,GP,F,15,GT3,T,,1,0,,4,3,3,1,2,4,0,8,0,0,50,97,92,239,239
132,GP,F,17,LE3,T,,1,0,,3,4,4,1,3,5,12,10,13,12,90,61,59,210,210
133,GP,F,16,GT3,A,,1,0,,3,2,1,1,4,5,16,12,11,11,56,88,52,196,196
135,GP,F,15,GT3,T,,3,0,,4,3,3,1,1,5,0,11,0,0,74,81,87,242,242
137,GP,F,16,GT3,A,,1,2,,4,3,2,1,1,5,0,4,0,0,72,54,52,178,178
139,GP,F,15,GT3,T,,1,0,,4,3,2,1,1,5,0,16,16,15,44,82,74,200,200
142,GP,F,15,GT3,T,,3,0,,4,2,2,1,1,5,2,9,11,11,97,72,90,259,259
143,GP,F,16,LE3,T,,1,0,,3,4,4,3,3,1,2,14,14,13,80,47,44,171,171
145,GP,F,15,GT3,T,,2,0,,4,4,2,1,2,5,0,8,11,11,46,99,64,209,209
146,GP,F,15,GT3,T,,2,3,,3,3,2,1,1,3,0,6,7,0,48,83,41,172,172
147,GP,F,15,GT3,T,,2,0,,4,3,2,1,1,5,2,10,11,11,47,83,49,179,179
152,GP,F,15,GT3,T,,3,2,,4,2,1,2,3,3,8,10,10,10,94,84,84,262,262
154,GP,F,17,GT3,T,,1,0,,4,2,1,1,1,4,0,11,11,12,63,91,94,248,248
157,GP,F,18,GT3,T,,1,3,,5,2,5,1,5,4,6,9,8,10,83,74,93,250,250
167,GP,F,16,GT3,T,,2,0,,4,2,3,1,1,3,0,14,15,16,42,58,61,161,161
168,GP,F,16,GT3,T,,2,0,,5,1,5,1,1,4,0,6,7,0,40,56,98,194,194
169,GP,F,16,GT3,T,,2,0,,4,4,2,1,1,3,0,14,14,14,44,95,66,205,205
173,GP,F,16,GT3,T,,2,3,,4,3,5,1,1,3,0,8,7,0,78,94,73,245,245
174,GP,F,16,LE3,T,,2,0,,4,4,5,1,1,4,4,10,11,9,66,65,80,211,211
176,GP,F,16,GT3,T,,2,0,,3,4,4,1,4,5,2,13,13,11,54,65,40,159,159
182,GP,F,17,GT3,T,,2,0,,5,4,2,2,3,5,0,16,17,17,90,40,56,186,186
183,GP,F,17,LE3,T,,2,0,,5,3,3,2,3,1,56,9,9,8,71,97,44,212,212
184,GP,F,16,GT3,T,,2,0,,1,2,2,1,2,1,14,12,13,12,78,97,70,245,245
188,GP,F,17,GT3,A,,2,0,,3,3,3,1,3,3,6,8,7,9,43,71,92,206,206
190,GP,F,16,GT3,T,,2,0,,4,3,3,1,1,2,10,11,12,13,76,87,76,239,239
191,GP,F,17,GT3,T,,2,0,,5,3,3,1,1,3,0,8,8,9,62,64,92,218,218
195,GP,F,17,LE3,T,,2,0,,4,3,2,1,1,5,0,14,15,15,82,40,58,180,180
198,GP,F,17,GT3,T,,1,1,,4,2,4,2,3,2,24,18,18,18,52,44,53,149,149
199,GP,F,16,LE3,T,,2,0,,4,5,2,1,2,3,0,9,9,10,71,61,48,180,180
200,GP,F,16,GT3,T,,2,0,,4,3,5,1,5,2,2,16,16,16,46,68,85,199,199
201,GP,F,16,GT3,T,,2,0,,4,4,3,1,3,4,6,8,10,10,98,94,40,232,232
202,GP,F,17,GT3,T,,2,0,,4,4,4,1,3,1,4,9,9,10,90,42,90,222,222
203,GP,F,17,GT3,T,,1,0,,5,3,2,1,2,3,18,7,6,6,61,51,84,196,196
204,GP,F,16,GT3,T,,4,0,,5,3,5,1,1,5,6,10,10,11,67,65,52,184,184
205,GP,F,17,GT3,T,,3,1,,4,4,3,3,4,5,28,10,9,9,41,55,43,139,139
206,GP,F,16,GT3,A,,2,3,,2,3,3,2,2,4,5,7,7,7,81,90,40,211,211
207,GP,F,16,GT3,T,,2,0,,1,3,2,1,1,1,10,11,12,13,84,76,88,248,248
208,GP,F,16,GT3,T,,1,0,,4,3,2,1,4,5,6,9,9,10,96,61,79,236,236
209,GP,F,17,GT3,T,,3,0,,4,4,2,1,1,4,6,7,7,7,92,96,71,259,259
210,GP,F,19,GT3,T,,4,0,,4,3,3,1,2,3,10,8,8,8,45,68,73,186,186
212,GP,F,16,GT3,A,,2,0,,3,3,4,1,1,4,0,12,13,14,67,67,70,204,204
214,GP,F,17,LE3,T,,1,0,,5,2,1,1,2,3,12,8,10,10,83,86,78,247,247
215,GP,F,17,LE3,T,,2,0,,4,4,4,1,3,1,2,14,15,15,59,88,65,212,212
216,GP,F,17,GT3,T,,2,2,,3,4,5,2,4,1,22,6,6,4,69,69,97,235,235
218,GP,F,17,GT3,T,,1,0,,3,3,3,1,4,3,3,7,7,8,97,91,93,281,281
219,GP,F,17,GT3,T,,3,0,,4,3,3,1,1,4,4,9,10,10,94,44,93,231,231
220,GP,F,17,GT3,T,,2,0,,4,2,5,1,2,5,2,6,6,6,67,51,42,160,160
221,GP,F,17,GT3,T,,3,1,,4,3,4,1,1,5,0,6,5,0,64,55,98,217,217
222,GP,F,16,GT3,T,,2,0,,2,3,1,1,1,3,2,16,16,17,78,65,89,232,232
224,GP,F,16,GT3,T,,1,0,,5,3,2,1,1,5,0,13,13,14,40,87,40,167,167
225,GP,F,18,GT3,T,,2,1,,5,3,3,1,1,4,16,9,8,7,96,60,93,249,249
226,GP,F,17,GT3,T,,2,0,,5,3,4,1,3,3,10,16,15,15,66,78,83,227,227
229,GP,F,17,GT3,A,,3,0,,3,2,3,1,2,3,10,12,10,12,52,69,69,190,190
230,GP,F,17,LE3,T,,2,0,,3,2,3,1,2,3,14,13,13,14,80,76,98,254,254
237,GP,F,16,GT3,T,,1,0,,4,5,2,1,1,5,20,13,12,12,76,73,76,225,225
238,GP,F,17,GT3,T,,2,0,,2,1,1,1,1,3,2,13,11,11,72,91,60,223,223
244,GP,F,18,GT3,T,,3,0,,4,4,4,1,1,3,0,7,0,0,98,71,77,246,246
256,GP,F,17,LE3,T,,4,0,,4,2,3,1,1,4,6,14,12,13,78,67,91,236,236
259,GP,F,17,LE3,T,,4,0,,3,4,1,1,1,2,0,10,9,0,88,59,72,219,219
260,GP,F,18,GT3,T,,2,0,,3,1,2,1,3,2,21,17,18,18,76,63,63,202,202
263,GP,F,17,GT3,T,,3,0,,3,2,3,1,1,4,4,10,9,9,56,74,69,199,199
264,GP,F,18,GT3,T,,3,0,,4,3,3,1,1,3,0,9,10,0,98,99,94,291,291
267,GP,F,18,GT3,T,,2,0,,4,3,4,2,2,4,8,12,10,11,41,90,56,187,187
269,GP,F,18,GT3,T,,2,0,,4,3,5,1,2,3,0,6,0,0,93,76,68,237,237
270,GP,F,19,GT3,T,,2,2,,4,3,5,3,3,5,15,9,9,9,62,51,43,156,156
271,GP,F,18,GT3,T,,4,0,,4,5,5,1,3,2,4,15,14,14,76,42,49,167,167
272,GP,F,18,LE3,T,,2,0,,4,4,3,1,1,3,2,11,11,11,71,40,95,206,206
274,GP,F,17,GT3,T,,2,0,,4,3,3,1,1,1,2,10,10,10,40,79,49,168,168
275,GP,F,17,LE3,T,,2,0,,4,4,4,2,3,5,6,12,12,12,58,49,56,163,163
276,GP,F,18,GT3,A,,2,0,,4,1,1,1,1,5,75,10,9,9,41,82,99,222,222
